state_code,county_name,zipcode
CA,los angeles,91710
CA,los angeles,90639
CA,los angeles,90661
CA,los angeles,91804
CA,los angeles,90310
CA,los angeles,91188
CA,los angeles,93243
CA,los angeles,91426
CA,los angeles,91788
CA,los angeles,93586
CA,los angeles,91395
CA,los angeles,93584
CA,los angeles,90651
CA,los angeles,91328
CA,los angeles,91709
CA,los angeles,90003
CA,los angeles,90037
CA,los angeles,90077
CA,los angeles,90249
CA,los angeles,90247
CA,los angeles,90056
CA,los angeles,90280
CA,los angeles,90291
CA,los angeles,90293
CA,los angeles,90295
CA,los angeles,90294
CA,los angeles,90264
CA,los angeles,90631
CA,los angeles,90606
CA,los angeles,90706
CA,los angeles,90638
CA,los angeles,90505
CA,los angeles,90602
CA,los angeles,90804
CA,los angeles,90840
CA,los angeles,90806
CA,los angeles,91221
CA,los angeles,91102
CA,los angeles,91030
CA,los angeles,91024
CA,los angeles,91372
CA,los angeles,91340
CA,los angeles,91605
CA,los angeles,91740
CA,los angeles,91423
CA,los angeles,91768
CA,los angeles,91770
CA,los angeles,91790
CA,los angeles,91803
CA,los angeles,91750
CA,los angeles,90021
CA,los angeles,90048
CA,los angeles,91303
CA,los angeles,91387
CA,los angeles,91606
CA,los angeles,90822
CA,los angeles,91182
CA,los angeles,90844
CA,los angeles,91125
CA,los angeles,90623
CA,los angeles,90099
CA,los angeles,90747
CA,los angeles,91771
CA,los angeles,90060
CA,los angeles,90072
CA,los angeles,90053
CA,los angeles,90702
CA,los angeles,91308
CA,los angeles,90263
CA,los angeles,90707
CA,los angeles,91225
CA,los angeles,91404
CA,los angeles,93591
CA,los angeles,90013
CA,los angeles,90044
CA,los angeles,90802
CA,los angeles,90017
CA,los angeles,90012
CA,los angeles,90029
CA,los angeles,90022
CA,los angeles,90081
CA,los angeles,90066
CA,los angeles,90067
CA,los angeles,90239
CA,los angeles,90062
CA,los angeles,90290
CA,los angeles,90275
CA,los angeles,90405
CA,los angeles,90408
CA,los angeles,90270
CA,los angeles,90601
CA,los angeles,90810
CA,los angeles,90808
CA,los angeles,90733
CA,los angeles,91106
CA,los angeles,91207
CA,los angeles,91043
CA,los angeles,91362
CA,los angeles,91401
CA,los angeles,91333
CA,los angeles,91602
CA,los angeles,91744
CA,los angeles,91724
CA,los angeles,91780
CA,los angeles,91745
CA,los angeles,91716
CA,los angeles,91184
CA,los angeles,91523
CA,los angeles,91394
CA,los angeles,90306
CA,los angeles,90076
CA,los angeles,90711
CA,los angeles,91305
CA,los angeles,90202
CA,los angeles,90749
CA,los angeles,91118
CA,los angeles,91046
CA,los angeles,91021
CA,los angeles,91503
CA,los angeles,93552
CA,los angeles,93553
CA,los angeles,91402
CA,los angeles,91405
CA,los angeles,91766
CA,los angeles,90032
CA,los angeles,90038
CA,los angeles,90042
CA,los angeles,90089
CA,los angeles,90068
CA,los angeles,90212
CA,los angeles,90209
CA,los angeles,90262
CA,los angeles,90255
CA,los angeles,90703
CA,los angeles,90701
CA,los angeles,90502
CA,los angeles,90504
CA,los angeles,90832
CA,los angeles,90815
CA,los angeles,91204
CA,los angeles,91205
CA,los angeles,91202
CA,los angeles,91108
CA,los angeles,91302
CA,los angeles,91307
CA,los angeles,91311
CA,los angeles,91310
