state_code,county_name
KY,Breathitt
KY,Casey
KY,Clay
KY,Cumberland
KY,Floyd
KY,Harlan
KY,Johnson
KY,Knott
KY,Lee
KY,Leslie
KY,Letcher
KY,Lincoln
KY,Magoffin
KY,Martin
KY,Owsley
KY,Perry
KY,Pike
KY,Powell
KY,Whitley
KY,Wolfe
NM,Colfax
NM,Lincoln
NM,Los Alamos
NM,Mora
NM,San Miguel
NM,Sandoval
NM,Valencia
PR,Adjuntas
PR,Aguada
PR,Aguadilla
PR,Aguas Buenas
PR,Aibonito
PR,Anasco
PR,Arecibo
PR,Arroyo
PR,Barceloneta
PR,Barranquitas
PR,Bayamon
PR,Cabo Rojo
PR,Caguas
PR,Camuy
PR,Canovanas
PR,Carolina
PR,Catano
PR,Cayey
PR,Ceiba
PR,Ciales
PR,Cidra
PR,Coamo
PR,Comerio
PR,Corozal
PR,Culebra
PR,Dorado
PR,Fajardo
PR,Florida
PR,Guanica
PR,Guayama
PR,Guayanilla
PR,Guaynabo
PR,Gurabo
PR,Hatillo
PR,Hormigueros
PR,Humacao
PR,Isabela
PR,Jayuya
PR,Juana Diaz
PR,Juncos
PR,Lajas
PR,Lares
PR,Las Marias
PR,Las Piedras
PR,Loiza
PR,Luquillo
PR,Manati
PR,Maricao
PR,Maunabo
PR,Mayaguez
PR,Moca
PR,Morovis
PR,Naguabo
PR,Naranjito
PR,Orocovis
PR,Patillas
PR,Penuelas
PR,Ponce
PR,Quebradillas
PR,Rincon
PR,Rio Grande
PR,Sabana Grande
PR,Salinas
PR,San German
PR,San Juan
PR,San Lorenzo
PR,San Sebastian
PR,Santa Isabel
PR,Toa Alta
PR,Toa Baja
PR,Trujillo Alto
PR,Utuado
PR,Vega Alta
PR,Vega Baja
PR,Vieques
PR,Villalba
PR,Yabucoa
PR,Yauco
FL,Alachua
FL,Baker
FL,Bay
FL,Bradford
FL,Brevard
FL,Broward
FL,Calhoun
FL,Charlotte
FL,Citrus
FL,Clay
FL,Collier
FL,Columbia
FL,DeSoto
FL,Dixie
FL,Duval
FL,Escambia
FL,Flagler
FL,Franklin
FL,Gadsden
FL,Gilchrist
FL,Glades
FL,Gulf
FL,Hamilton
FL,Hardee
FL,Hendry
FL,Hernando
FL,Highlands
FL,Hillsborough
FL,Hollywood Indian Reservation
FL,Holmes
FL,Indian River
FL,Jackson
FL,Jefferson
FL,Lafayette
FL,Lake
FL,Lee
FL,Leon
FL,Levy
FL,Liberty
FL,Madison
FL,Manatee
FL,Marion
FL,Martin
FL,Miami-Dade
FL,Miccosukee Indian Reservation
FL,Monroe
FL,Nassau
FL,Okaloosa
FL,Okeechobee
FL,Orange
FL,Osceola
FL,Palm Beach
FL,Pasco
FL,Pinellas
FL,Polk
FL,Putnam
FL,Santa Rosa
FL,Sarasota
FL,Seminole
FL,St. Johns
FL,St. Lucie
FL,Sumter
FL,Suwannee
FL,Taylor
FL,Union
FL,Volusia
FL,Wakulla
FL,Walton
FL,Washington
SC,Abbeville
SC,Aiken
SC,Allendale
SC,Anderson
SC,Bamberg
SC,Barnwell
SC,Beaufort
SC,Berkeley
SC,Calhoun
SC,Charleston
SC,Cherokee
SC,Chester
SC,Chesterfield
SC,Clarendon
SC,Colleton
SC,Darlington
SC,Dillon
SC,Dorchester
SC,Edgefield
SC,Fairfield
SC,Florence
SC,Georgetown
SC,Greenville
SC,Greenwood
SC,Hampton
SC,Horry
SC,Jasper
SC,Kershaw
SC,Lancaster
SC,Laurens
SC,Lee
SC,Lexington
SC,Marion
SC,Marlboro
SC,McCormick
SC,Newberry
SC,Oconee
SC,Orangeburg
SC,Pickens
SC,Richland
SC,Saluda
SC,Spartanburg
SC,Sumter
SC,Union
SC,Williamsburg
SC,York
