state_code,county_name,zipcode
TX,anderson,75763
TX,anderson,75884
TX,anderson,75880
TX,anderson,75801
TX,anderson,75802
TX,anderson,75861
TX,anderson,75882
TX,anderson,75853
TX,anderson,75839
TX,anderson,75770
TX,anderson,75779
TX,anderson,75844
TX,anderson,75752
TX,anderson,75832
TX,anderson,75751
TX,anderson,75803
TX,anderson,75886
TX,angelina,75915
TX,angelina,75951
TX,angelina,75902
TX,angelina,75969
TX,angelina,75904
TX,angelina,75949
TX,angelina,75941
TX,angelina,75901
TX,angelina,75980
TX,angelina,75903
TX,aransas,78336
TX,aransas,78382
TX,aransas,78390
TX,aransas,78381
TX,aransas,78358
TX,austin,78950
TX,austin,78944
TX,austin,77474
TX,austin,77833
TX,austin,77418
TX,austin,77835
TX,austin,78940
TX,austin,77485
TX,austin,78931
TX,austin,78933
TX,austin,77473
TX,austin,77426
TX,austin,78954
TX,austin,77452
TX,bowie,75573
TX,bowie,75570
TX,bowie,75599
TX,bowie,75559
TX,bowie,75504
TX,bowie,75505
TX,bowie,75567
TX,bowie,75569
TX,bowie,75503
TX,bowie,75501
TX,bowie,75574
TX,bowie,75561
TX,bowie,75554
TX,brazoria,77444
TX,brazoria,77534
TX,brazoria,77541
TX,brazoria,77511
TX,brazoria,77486
TX,brazoria,77583
TX,brazoria,77463
TX,brazoria,77510
TX,brazoria,77584
TX,brazoria,77431
TX,brazoria,77515
TX,brazoria,77422
TX,brazoria,77480
TX,brazoria,77516
TX,brazoria,77531
TX,brazoria,77588
TX,brazoria,77546
TX,brazoria,77430
TX,brazoria,77581
TX,brazoria,77542
TX,brazoria,77545
TX,brazoria,77578
TX,brazoria,77517
TX,brazoria,77512
TX,brazoria,77566
TX,brazoria,77577
TX,brazos,77868
TX,brazos,77856
TX,brazos,77881
TX,brazos,77866
TX,brazos,77842
TX,brazos,77843
TX,brazos,77840
TX,brazos,77844
TX,brazos,77807
TX,brazos,77802
TX,brazos,77805
TX,brazos,77845
TX,brazos,77803
TX,brazos,77801
TX,brazos,77808
TX,brazos,77862
TX,brazos,77841
TX,brazos,77859
TX,brazos,77806
TX,burleson,77836
TX,burleson,77863
TX,burleson,77878
TX,burleson,76567
TX,burleson,76556
TX,burleson,77852
TX,burleson,77838
TX,burleson,77879
TX,calhoun,77983
TX,calhoun,77971
TX,calhoun,77990
TX,calhoun,77465
TX,calhoun,77978
TX,calhoun,77979
TX,calhoun,77982
TX,cameron,78551
TX,cameron,78522
TX,cameron,78575
TX,cameron,78583
TX,cameron,78552
TX,cameron,78521
TX,cameron,78535
TX,cameron,78526
TX,cameron,78567
TX,cameron,78570
TX,cameron,78586
TX,cameron,78559
TX,cameron,78597
TX,cameron,78553
TX,cameron,78578
TX,cameron,78520
TX,cameron,78592
TX,cameron,78569
TX,cameron,78523
TX,cameron,78568
TX,cameron,78550
TX,cameron,78593
TX,cameron,78566
TX,camp,75644
TX,camp,75686
TX,camp,75451
TX,camp,75494
TX,cass,75656
TX,cass,75572
TX,cass,75563
TX,cass,75556
TX,cass,75562
TX,cass,75551
TX,cass,75568
TX,cass,75657
TX,cass,75565
TX,cass,75566
TX,cass,75501
TX,cass,75630
TX,cass,75638
TX,cass,75560
TX,cass,75555
TX,chambers,77523
TX,chambers,77597
TX,chambers,77560
TX,chambers,77580
TX,chambers,77514
TX,chambers,77665
TX,chambers,77661
TX,chambers,77535
TX,chambers,77521
TX,chambers,77575
TX,cherokee,75925
TX,cherokee,75784
